"father","son"
78.5,73.2
75.5,73.5
75.5,72.5
75,71
75,70.5
75,68.5
75,72
75,69
75,68
74,76.5
74,74
74,73
74,73
74,74
74,70
73,68
73,67
73,71
73,70.5
73,72
73,70.5
73,70.2
73,70.2
73,69.2
73,74
73,73
73,71.5
73,62.5
72.7,73.2
72.7,73
72.7,72.7
72,73
72,73
72,71
72,74.2
72,70.5
72,69.5
72,70.5
72,70.5
72,69
72,69
72,67
72,73
72,67
72.5,71
72.5,70
72.5,70
72,74
72,72
72,69
72,72
72,71.5
72,71.5
72,70
71,78
71,74
71,73
71,72
71,73.2
71,73
71,69
71,70
71,70
71,69
71,68.5
71,71
71,76
71,72
71,71
71,66
71.7,70.5
71,72
71,72
71,71
71,69
71.5,73
71.5,68.5
71.5,67.7
71,68
71,68
71.7,72
71.7,71
71.7,70.5
71,68
71,68
71,68
71.5,72
71.5,71
71.5,70
71,71
71,67
71,71
71,70
71,70
71,64
71,71
71,71
71,70
71,71
71,70
71,72
71,70.5
71,70.5
71,70
71,70.5
71,70
71,69
71,69
71,66
71,71.5
71,69
70,71
70,70
70,69
70,70
70,68.7
70,75
70,70
70,69
70,73
70,72
70,72
70,66.5
70.5,72
70.5,70.2
70.5,69
70.5,68.5
70,73
70,72
70,70.5
70,65
70,65
70,67
70,65
70,70
70,70
70,79
70,75
70,71
70,73
70,72.5
70,69
70,69
70,72
70,70
70,68.7
70,70.7
70,70
70,68
70,67
70,66
70,65
70,70
70,68
70,66.7
70,72
70,70
70.5,74
70.5,69.5
70.5,69
70.5,68
70.5,68
70.5,68
70,68
70,71
70,70
70,70
70,70
70,69.5
70,68.5
70,70
70,67
70,65.5
70.5,72.5
70.5,69
70.5,67
70,71
70,67.5
70,68
70,67
70,70
70,66.5
70.5,72
70.5,70
70.5,69.5
70.5,69.5
70.5,68
70.3,70.7
70.3,69.7
70.3,69.2
70.3,65.2
70.5,72
70.5,72
70,71.2
70,67
70,67
70,64.5
70,71.5
70,64.5
70,72
70,66
69,75
69,71
69,70
69,73
69,72
69,71.7
69,71.5
69,71.2
69,71
69,70
69,75
69,74
69,72
69,68.5
69,67
69,66
69,70
69,68.5
69,68
69,73
69,71
69,70.5
69,70.5
69.5,70.5
69.5,67.5
69,71
69.5,71
69.5,71
69.5,70.5
69.5,70.5
69,73
69,72
69,69
69,69
69,70
69,68.5
69,67
69.5,69.7
69.5,68
69.5,60
69.2,71.7
69.2,66.5
69,69
69,72
69,73
69,70
69,70
69,64
69,70.5
69,67
69,66
69,70.5
69.5,73
69.5,72
69.5,69
69,73
69,71
69,71
69,69
69,71
69,70
69,70
69,69
69,72
69,68
69.5,70
69.5,69.5
69.5,69
69,68
69,68
69,67.5
69,64
69,63
69,63
69,70.5
69,69
69,66
69,69.5
68.7,71
68.5,73
68.5,71
68.5,70
68.5,69
68.5,69
68.5,68.7
68.5,68.5
68.5,68.5
68.5,68
68.5,68
68.5,68
68,67.5
68,66
68,66
68,71.7
68,71.5
68,70.7
68,65.5
68,72
68,72
68.5,69.2
68.5,68
68.5,66
68.5,66
68,71
68,68
68,68
68,67
68,66
68,63
68,71.2
68,71.2
68,69
68,68.5
68,69
68,67
68,66
68,70.5
68,70
68,68
68,66
68,66
68.5,73.5
68.5,70
68.5,69.5
68,67
68,70
68,68
68,71
68,68
68,66
68,65.5
68,65
68,67
68,67
68,66
68.5,68.2
68,70
68.2,70
68.2,69
68.2,67
68.2,65.5
68,68.5
68.7,67.7
68,66.5
68,68.5
68,68
68,64
68,66.7
68,64
68,67.5
68,67
68,66.5
68.5,69
68,68
68,65
68,64.7
68,64
68,64
68,63
67,72.7
67,72.7
67,71.5
67,71
67,69.7
67,67.5
67,70
67,69
67,70
67,67.7
67,65
67.5,71
67.5,69
67,71.5
67,70
67,67
67,67
67,71
67,70.2
67,69.2
67,68.5
67,68
67,67
67,65.5
67,69
67,68
67.5,70
67.5,69.5
67.5,69
67.5,68.5
67,67
66,70.5
66,70.5
66,67
66,66
66,66
66,72
66,65
66,65
66,66
66,65
66,72
66,68
66.5,68.7
66.5,68.5
66.5,66.5
66.5,64.5
66,72
66,71
66,67
66,70
66.5,67.2
66.5,67
66.5,65
66.5,70
66.5,68
66,70
66,68
66,67
66,65
66,65
66,68
66,67
66,66.5
66,66
66,65.7
66,65.5
66,65
65,66.5
65,66
65,66
65,63
65,69
65,68
65,68
65,70.7
65,69.2
65,69
65,68
65,67.7
65,67
65,67
65,70
65,66
65,66
65.5,71
65.5,71
65.5,69
65.5,68
65.5,68
65.5,67
65.5,67
64,71.5
64,68
64,70.5
64,68
64,64.5
64,66
62,64
62.5,66.5
68.5,72
68.5,70.5
68.5,68.7
68.5,68.5
68.5,67.7
