"DistNum","DistName","FreeLunch","AvgMCA"
1,"MINNEAPOLIS PUBLIC SCHOOL DISTRICT",0.545708582834331,1130.7
2,"HILL CITY PUBLIC SCHOOL DISTRICT",0.380952380952381,1140.6
4,"MCGREGOR PUBLIC SCHOOL DISTRICT",0.272727272727273,1145.2
6,"SOUTH ST. PAUL PUBLIC SCHOOL DIST.",0.293436293436293,1147.7
11,"ANOKA-HENNEPIN PUBLIC SCHOOL DIST.",0.203440291101555,1148.3
12,"CENTENNIAL PUBLIC SCHOOL DISTRICT",0.156370656370656,1154.7
13,"COLUMBIA HEIGHTS PUBLIC SCHOOL DIST",0.685714285714286,1137.2
14,"FRIDLEY PUBLIC SCHOOL DISTRICT",0.46530612244898,1137.3
15,"ST. FRANCIS PUBLIC SCHOOL DISTRICT",0.156424581005587,1143.5
16,"SPRING LAKE PARK PUBLIC SCHOOLS",0.346341463414634,1148.9
22,"DETROIT LAKES PUBLIC SCHOOL DIST.",0.234234234234234,1150.4
23,"FRAZEE-VERGAS PUBLIC SCHOOL DIST.",0.203125,1144
31,"BEMIDJI PUBLIC SCHOOL DISTRICT",0.308900523560209,1149
32,"BLACKDUCK PUBLIC SCHOOL DISTRICT",0.333333333333333,1144.3
36,"KELLIHER PUBLIC SCHOOL DISTRICT",0.4,1150.5
38,"RED LAKE PUBLIC SCHOOL DISTRICT",0.666666666666667,1127.6
47,"SAUK RAPIDS-RICE PUBLIC SCHOOLS",0.143292682926829,1149.9
51,"FOLEY PUBLIC SCHOOL DISTRICT",0.19375,1147.7
75,"ST. CLAIR PUBLIC SCHOOL DISTRICT",0.0769230769230769,1141.4
77,"MANKATO PUBLIC SCHOOL DISTRICT",0.240336134453782,1148.9
84,"SLEEPY EYE PUBLIC SCHOOL DISTRICT",0.148148148148148,1143.4
85,"SPRINGFIELD PUBLIC SCHOOL DISTRICT",0.26,1148
88,"NEW ULM PUBLIC SCHOOL DISTRICT",0.134146341463415,1150.6
91,"BARNUM PUBLIC SCHOOL DISTRICT",0.152542372881356,1145.7
93,"CARLTON PUBLIC SCHOOL DISTRICT",0.146341463414634,1142.7
94,"CLOQUET PUBLIC SCHOOL DISTRICT",0.261111111111111,1151
95,"CROMWELL-WRIGHT PUBLIC SCHOOLS",0.117647058823529,1147.5
97,"MOOSE LAKE PUBLIC SCHOOL DISTRICT",0.238095238095238,1147.3
99,"ESKO PUBLIC SCHOOL DISTRICT",0.0652173913043478,1154.4
100,"WRENSHALL PUBLIC SCHOOL DISTRICT",0.2,1152.4
108,"CENTRAL PUBLIC SCHOOL DISTRICT",0.0693069306930693,1145.4
110,"WACONIA PUBLIC SCHOOL DISTRICT",0.041522491349481,1152.6
111,"WATERTOWN-MAYER PUBLIC SCHOOL DIST.",0.0859375,1149.3
112,"EASTERN CARVER COUNTY PUBLIC SCHOOL",0.104930467762326,1148.7
113,"WALKER-HACKENSACK-AKELEY SCHL. DIST",0.233333333333333,1149
115,"CASS LAKE-BENA PUBLIC SCHOOLS",0.804597701149425,1133.9
116,"PILLAGER PUBLIC SCHOOL DISTRICT",0.15,1149
118,"NORTHLAND COMMUNITY SCHOOLS",0.555555555555556,1137.2
129,"MONTEVIDEO PUBLIC SCHOOL DISTRICT",0.233009708737864,1147.6
138,"NORTH BRANCH PUBLIC SCHOOLS",0.118577075098814,1147.2
139,"RUSH CITY PUBLIC SCHOOL DISTRICT",0.144927536231884,1150.4
146,"BARNESVILLE PUBLIC SCHOOL DIST.",0.123076923076923,1147.4
150,"HAWLEY PUBLIC SCHOOL DISTRICT",0.0975609756097561,1155.5
152,"MOORHEAD PUBLIC SCHOOL DISTRICT",0.292792792792793,1146.8
160,"MINNESOTA STATE ACADEMIES",0.655172413793103,1123.6
162,"BAGLEY PUBLIC SCHOOL DISTRICT",0.226190476190476,1144.6
166,"COOK COUNTY PUBLIC SCHOOLS",0.25,1148.4
173,"MOUNTAIN LAKE PUBLIC SCHOOLS",0.358974358974359,1146
177,"WINDOM PUBLIC SCHOOL DISTRICT",0.279411764705882,1143.3
181,"BRAINERD PUBLIC SCHOOL DISTRICT",0.183628318584071,1150.4
182,"CROSBY-IRONTON PUBLIC SCHOOL DIST.",0.2,1146.5
186,"PEQUOT LAKES PUBLIC SCHOOLS",0.0979020979020979,1148.3
191,"BURNSVILLE PUBLIC SCHOOL DISTRICT",0.290854572713643,1143.1
192,"FARMINGTON PUBLIC SCHOOL DISTRICT",0.106060606060606,1143.2
194,"LAKEVILLE PUBLIC SCHOOL DISTRICT",0.0734229576008273,1150.8
