"date","month","max.fpm"
"2007-01",1,25.82
"2007-02",2,28.87
"2007-03",3,36.18
"2007-04",4,21.22
"2007-05",5,25.94
"2007-06",6,25.1
"2007-07",7,24.49
"2007-08",8,36.94
"2007-09",9,23.2
"2007-10",10,25.72
"2007-11",11,27.94
"2007-12",12,43.34
"2008-01",13,31.46
"2008-02",14,38.32
"2008-03",15,24.82
"2008-04",16,22.78
"2008-05",17,28.48
"2008-06",18,24.27
"2008-07",19,24.26
"2008-08",20,15.52
"2008-09",21,22.88
"2008-10",22,15.95
"2008-11",23,14.48
"2008-12",24,23.83
"2009-01",25,28.72
"2009-02",26,25.87
"2009-03",27,22.38
"2009-04",28,21.21
"2009-05",29,19.9
"2009-06",30,32.25
"2009-07",31,24.69
"2009-08",32,23.14
"2009-09",33,23.81
"2009-10",34,17.05
"2009-11",35,24.09
"2009-12",36,49.88
