"sample.num","mean","sd","ci.low","ci.up","mean.in.ci"
1,66.4333333333333,5.3542334737994,64.5173806982501,68.3492859684166,"yes"
2,67.1666666666667,3.55336977833847,65.8951329870937,68.4382003462396,"yes"
3,68.1666666666667,4.96250307623171,66.3908903782322,69.9424429551011,"yes"
4,66.0333333333333,5.76842375729091,63.9691673323286,68.0974993343381,"yes"
5,67.2333333333333,5.99817980053451,65.0869516989176,69.3797149677491,"yes"
6,67.8333333333333,5.57756177933502,65.837465158972,69.8292015076947,"yes"
7,68.2666666666667,5.86005374421237,66.1697118984642,70.3636214348692,"yes"
8,67.2333333333333,4.46969360466019,65.6339034089997,68.8327632576669,"yes"
9,68.0666666666667,4.77011771222742,66.3597333315549,69.7736000017784,"yes"
10,66.8,4.91584349236012,65.0409203224078,68.5590796775922,"yes"
11,66.5333333333333,5.63078565800873,64.5184195885662,68.5482470781005,"yes"
12,67.6333333333333,4.53707587232838,66.0097914172593,69.2568752494074,"yes"
13,66.9666666666667,4.73055608988417,65.2738900161574,68.6594433171759,"yes"
14,66.7333333333333,4.24209880823757,65.2153456643797,68.251321002287,"yes"
15,67.9666666666667,5.10228706888718,66.1408702380233,69.79246309531,"yes"
16,65.6333333333333,5.10228706888718,63.80753690469,67.4591297619767,"yes"
17,66.3,5.16052657029868,64.453363216385,68.146636783615,"yes"
18,65.4333333333333,4.97360850984428,63.6535830895423,67.2130835771244,"no"
19,70.0666666666667,5.28454697979015,68.1756505649789,71.9576827683544,"no"
20,67.5666666666667,4.80433233606943,65.8474900106334,69.2858433226999,"yes"
21,67.9,4.61892658077834,66.2471687222824,69.5528312777176,"yes"
22,68.1,4.69298816651337,66.4206666111881,69.7793333888119,"yes"
23,66.9333333333333,4.95450567027444,65.1604188272796,68.706247839387,"yes"
24,65.9666666666667,5.44238369006496,64.0191704614415,67.9141628718919,"yes"
25,68.4333333333333,6.17940591572235,66.222101958121,70.6445647085457,"yes"
26,67.0666666666667,4.18481106839495,65.5691787754397,68.5641545578937,"yes"
27,67.8333333333333,5.57137594181702,65.8396786918242,69.8269879748425,"yes"
28,66.8666666666667,6.24628625296848,64.6315029099082,69.1018304234251,"yes"
29,67.3,6.00086200704417,65.1526585679484,69.4473414320516,"yes"
30,66.5333333333333,4.71778245199668,64.8451275864445,68.2215390802221,"yes"
31,68.8,5.28106572316742,66.9102296271047,70.6897703728953,"yes"
32,67.5666666666667,6.24601022078582,65.3316016849412,69.8017316483922,"yes"
33,68.1333333333333,5.21756538107067,66.2662858484787,70.0003808181879,"yes"
34,66.4333333333333,5.10363854879846,64.6070532927015,68.2596133739652,"yes"
35,68.3333333333333,4.98503507637044,66.54949422036,70.1171724463067,"yes"
36,66.6666666666667,4.90835553143703,64.9102664722409,68.4230668610924,"yes"
37,67.7,3.724568940576,66.3672046127301,69.0327953872699,"yes"
38,67.1333333333333,4.31303823894186,65.5899607815848,68.6767058850819,"yes"
39,66.1333333333333,5.15105167255516,64.2900870360293,67.9765796306374,"yes"
40,68.1333333333333,5.83528702915664,66.0452410574382,70.2214256092285,"yes"
41,67.5666666666667,4.62886992489627,65.9102772743361,69.2230560589972,"yes"
