"date","Avg.Fine.Particulate.Matter"
2007-01-01,6.06
2007-01-02,11.33
2007-01-03,15.9
2007-01-04,7.45
2007-01-05,17.29
2007-01-06,5.68
2007-01-07,16.22
2007-01-08,5.33
2007-01-09,3.23
2007-01-10,9.63
2007-01-11,10.77
2007-01-12,3.06
2007-01-13,5.97
2007-01-14,11.6
2007-01-15,4.17
2007-01-16,14.15
2007-01-17,20.77
2007-01-18,10.98
2007-01-19,13.7
2007-01-20,19.2
2007-01-21,18.31
2007-01-22,25.82
2007-01-23,20.22
2007-01-24,6.84
2007-01-25,6.84
2007-01-26,24.66
2007-01-27,2.99
2007-01-28,2.8
2007-01-29,8.51
2007-01-30,3.2
2007-01-31,13.24
2007-02-01,20.36
2007-02-02,4.74
2007-02-03,8.02
2007-02-04,8.61
2007-02-05,6.77
2007-02-06,17.95
2007-02-07,11.49
2007-02-08,4.82
2007-02-09,14.12
2007-02-10,12.02
2007-02-11,9.62
2007-02-12,28.87
2007-02-13,4.14
2007-02-14,5.26
2007-02-15,14.94
2007-02-16,17.29
2007-02-17,5.67
2007-02-18,9.62
2007-02-19,15.75
2007-02-20,10.34
2007-02-21,22.92
2007-02-22,8.83
2007-02-23,4.2
2007-02-24,8.35
2007-02-25,14.01
2007-02-26,3.94
2007-02-27,16.38
2007-02-28,22.9
2007-03-01,5.2
2007-03-02,11.1
2007-03-03,6.96
2007-03-04,5.55
2007-03-05,13.73
2007-03-06,14.29
2007-03-07,10.41
2007-03-08,23.62
2007-03-09,36.18
2007-03-10,9.76
2007-03-11,11.71
2007-03-12,13.31
2007-03-13,6.6
2007-03-14,6.18
2007-03-15,3.5
2007-03-16,6.62
2007-03-17,11.08
2007-03-18,8.37
2007-03-19,7.01
2007-03-20,4.68
2007-03-21,14.83
2007-03-22,6.5
2007-03-23,13.77
2007-03-24,13.63
2007-03-25,9.22
2007-03-26,12.38
2007-03-27,11.44
2007-03-28,4.27
2007-03-29,11.46
2007-03-30,11.29
2007-03-31,6.38
2007-04-01,3.48
2007-04-02,6.25
2007-04-03,3.25
2007-04-04,3.98
2007-04-05,6.61
2007-04-06,3.44
2007-04-07,7.59
2007-04-08,7.37
2007-04-09,6.11
2007-04-10,17.37
2007-04-11,15.13
2007-04-12,6.1
2007-04-13,11.92
2007-04-14,14.78
2007-04-15,11.22
2007-04-16,12.34
2007-04-17,8.39
2007-04-18,3.89
2007-04-19,6.44
2007-04-20,17.49
2007-04-21,17.32
2007-04-22,21.22
2007-04-23,10.88
2007-04-24,6.7
2007-04-25,8.32
2007-04-26,11.07
2007-04-27,10.12
2007-04-28,12.71
2007-04-29,12.02
2007-04-30,6.75
2007-05-01,9.29
2007-05-02,8.29
2007-05-03,11.16
2007-05-04,11.3
2007-05-05,16.23
2007-05-06,10.8
2007-05-07,6.97
2007-05-08,14.17
2007-05-09,7.99
2007-05-10,9.73
2007-05-11,15.32
2007-05-12,8.24
2007-05-13,14.76
2007-05-14,13.43
2007-05-15,3.77
2007-05-16,5.19
2007-05-17,8.8
2007-05-18,11.92
2007-05-19,12.96
2007-05-20,18.26
2007-05-21,13.66
2007-05-22,23.32
2007-05-23,11.66
2007-05-24,2.55
2007-05-25,7.57
2007-05-26,9.42
2007-05-27,4.65
2007-05-28,17.51
2007-05-29,25.94
2007-05-30,8.55
2007-05-31,13.16
2007-06-01,12.98
2007-06-02,5.41
2007-06-03,7.2
2007-06-04,11.02
2007-06-05,5.6
2007-06-06,9.21
2007-06-07,10.51
2007-06-08,7
2007-06-09,11.09
2007-06-10,16.23
2007-06-11,13.73
2007-06-12,18.97
2007-06-13,22.96
2007-06-14,19.48
2007-06-15,24.43
2007-06-16,25.1
2007-06-17,10.69
2007-06-18,10.79
2007-06-19,7.59
2007-06-20,9.7
2007-06-21,11.04
2007-06-22,11.53
2007-06-23,10.8
2007-06-24,18.21
2007-06-25,21.15
2007-06-26,11
2007-06-27,14.19
2007-06-28,6.83
2007-06-29,6.44
2007-06-30,9.72
2007-07-01,13.61
2007-07-02,15.11
2007-07-03,12.6
2007-07-04,24.49
2007-07-05,9.77
2007-07-06,9.66
2007-07-07,11.67
2007-07-08,8.94
2007-07-09,13.2
2007-07-10,9.08
2007-07-11,4.36
2007-07-12,8.65
2007-07-13,9.96
2007-07-14,8.55
2007-07-15,11.78
2007-07-16,14.96
2007-07-17,11.93
2007-07-18,15.94
2007-07-19,10.53
2007-07-20,4.77
2007-07-21,8.91
2007-07-22,16.9
2007-07-23,16.57
2007-07-24,23.24
2007-07-25,19.34
2007-07-26,12.28
2007-07-27,7.88
2007-07-28,10.94
2007-07-29,9.7
2007-07-30,14.33
2007-07-31,17.42
2007-08-01,20.61
2007-08-02,10.79
2007-08-03,6.5
2007-08-04,7.13
2007-08-05,36.34
2007-08-06,14.95
2007-08-07,9.46
2007-08-08,27.87
2007-08-09,12.1
2007-08-10,17.62
2007-08-11,15.39
2007-08-12,18.54
2007-08-13,20.16
2007-08-14,36.94
2007-08-15,18.12
2007-08-16,6.76
2007-08-17,11.39
2007-08-18,5.28
2007-08-19,7.91
2007-08-20,14.57
2007-08-21,18.52
2007-08-22,11.52
2007-08-23,4.34
2007-08-24,6.3
2007-08-25,7.72
2007-08-26,15.82
2007-08-27,10.16
2007-08-28,6.36
2007-08-29,5.87
2007-08-30,4.05
2007-08-31,10.73
2007-09-01,15.95
2007-09-02,10.43
2007-09-03,13.35
2007-09-04,17.04
2007-09-05,19.72
2007-09-06,6.69
2007-09-07,12.36
2007-09-08,12.57
2007-09-09,2.76
2007-09-10,3.42
2007-09-11,5.31
2007-09-12,5.02
2007-09-13,23.2
2007-09-14,0.71
2007-09-15,6.26
2007-09-16,6.42
2007-09-17,18.05
2007-09-18,7.95
2007-09-19,6.72
2007-09-20,9.81
2007-09-21,8.82
2007-09-22,4.1
2007-09-23,8.48
2007-09-24,12.17
2007-09-25,8.75
2007-09-26,6.64
2007-09-27,5.06
2007-09-28,6.23
2007-09-29,11.74
2007-09-30,11.22
2007-10-01,11.43
2007-10-02,7.12
2007-10-03,4.43
2007-10-04,14.53
2007-10-05,25.72
2007-10-06,12.95
2007-10-07,10.32
2007-10-08,7.08
2007-10-09,2.04
2007-10-10,1.54
2007-10-11,1.54
2007-10-12,6.64
2007-10-13,11.66
2007-10-14,17.72
2007-10-15,8.23
2007-10-16,10.9
2007-10-17,4.63
2007-10-18,3.91
2007-10-19,5.19
2007-10-20,5.49
2007-10-21,3.63
2007-10-22,7.41
2007-10-23,6.44
2007-10-24,6.4
2007-10-25,7.13
2007-10-26,18.39
2007-10-27,5.03
2007-10-28,14.01
2007-10-29,10.59
2007-10-30,10.83
2007-10-31,9.59
2007-11-01,7.64
2007-11-02,5.2
2007-11-03,7.59
2007-11-04,11.48
2007-11-05,3.48
2007-11-06,8.93
2007-11-07,9.62
2007-11-08,9
2007-11-09,20
2007-11-10,19.11
2007-11-11,17.94
2007-11-12,14.82
2007-11-13,7.98
2007-11-14,2.7
2007-11-15,10.25
2007-11-16,15.34
2007-11-17,4.58
2007-11-18,15.43
2007-11-19,27.94
2007-11-20,6.06
2007-11-21,7.33
2007-11-22,8.76
2007-11-23,7.63
2007-11-24,15.73
2007-11-25,17.65
2007-11-26,7.27
2007-11-27,12.64
2007-11-28,12.33
2007-11-29,4.6
2007-11-30,8.83
2007-12-01,10.23
2007-12-02,5.63
2007-12-03,8.16
2007-12-04,16.39
2007-12-05,7.06
2007-12-06,13.91
2007-12-07,16.65
2007-12-08,10.46
2007-12-09,17.49
2007-12-10,25.29
2007-12-11,12.82
2007-12-12,22.38
2007-12-13,24.31
2007-12-14,7.92
2007-12-15,20.2
2007-12-16,16.18
2007-12-17,14.05
2007-12-18,27.87
2007-12-19,43.34
2007-12-20,35.31
2007-12-21,32.26
2007-12-22,13.64
2007-12-23,3.82
2007-12-24,13.49
2007-12-25,18.08
2007-12-26,11.01
2007-12-27,13.66
2007-12-28,15.99
2007-12-29,13.02
2007-12-30,31.39
2007-12-31,40.27
2008-01-01,4.43
2008-01-02,8.28
2008-01-03,12.67
2008-01-04,17.55
2008-01-05,13.58
2008-01-06,11.45
2008-01-07,20
2008-01-08,10.93
2008-01-09,12.31
2008-01-10,19.74
2008-01-11,28.91
2008-01-12,31.46
2008-01-13,6.79
2008-01-14,9.29
2008-01-15,13.38
2008-01-16,11.93
2008-01-17,10.89
2008-01-18,10.22
2008-01-19,3.85
2008-01-20,10.32
2008-01-21,10.82
2008-01-22,7.59
2008-01-23,9.97
2008-01-24,10.2
2008-01-25,18.69
2008-01-26,14.44
2008-01-27,25.64
2008-01-28,16.5
2008-01-29,8.65
2008-01-30,4.99
2008-01-31,9.64
2008-02-01,15.02
2008-02-02,25.19
2008-02-03,24.9
2008-02-04,17.74
2008-02-05,16.47
2008-02-06,4.67
2008-02-07,17.91
2008-02-08,28.98
2008-02-09,13.88
2008-02-10,7.01
2008-02-11,9.23
2008-02-12,8.62
2008-02-13,11.9
2008-02-14,22.21
2008-02-15,6.55
2008-02-16,14.59
2008-02-17,11.06
2008-02-18,3.59
2008-02-19,4.6
2008-02-20,10.59
2008-02-21,9.3
2008-02-22,21.93
2008-02-23,34.3
2008-02-24,38.32
2008-02-25,16.85
2008-02-26,8.45
2008-02-27,4.24
2008-02-28,13.83
2008-02-29,14.26
2008-03-01,6.24
2008-03-02,13.54
2008-03-03,10.13
2008-03-04,9.63
