"date","Avg.Daily.Sunlight"
2007-01-01,6062.53
2007-01-02,6641.04
2007-01-03,5832.96
2007-01-04,5848.66
2007-01-05,6294.31
2007-01-06,6893
2007-01-07,4761.91
2007-01-08,5985.1
2007-01-09,6284.43
2007-01-10,5927
2007-01-11,5931.46
2007-01-12,4699.26
2007-01-13,6064.94
2007-01-14,5171.08
2007-01-15,6340.85
2007-01-16,7812.66
2007-01-17,7251.21
2007-01-18,5782.75
2007-01-19,7719.84
2007-01-20,4268.9
2007-01-21,6619.81
2007-01-22,7794.89
2007-01-23,7790.26
2007-01-24,6642.08
2007-01-25,8136.16
2007-01-26,7423.76
2007-01-27,4640.81
2007-01-28,8875.42
2007-01-29,4056.54
2007-01-30,9280.5
2007-01-31,7696.79
2007-02-01,7842.54
2007-02-02,6722.67
2007-02-03,6970.84
2007-02-04,7136.28
2007-02-05,9292.8
2007-02-06,6699.03
2007-02-07,10422.26
2007-02-08,10741.78
2007-02-09,9478.18
2007-02-10,9939.87
2007-02-11,8717.81
2007-02-12,8816.4
2007-02-13,9453.81
2007-02-14,8405.63
2007-02-15,11771.25
2007-02-16,8313.68
2007-02-17,10213.49
2007-02-18,9509.72
2007-02-19,11221.03
2007-02-20,9122.96
2007-02-21,9580.36
2007-02-22,12371.57
2007-02-23,8113.18
2007-02-24,5392.96
2007-02-25,6181.69
2007-02-26,7320.42
2007-02-27,8228.66
2007-02-28,10793.99
2007-03-01,7934.7
2007-03-02,9949.06
2007-03-03,16061.91
2007-03-04,15274.19
2007-03-05,15052.35
2007-03-06,9086.19
2007-03-07,14219.01
2007-03-08,15814.25
2007-03-09,15096.7
2007-03-10,16994.63
2007-03-11,15464.12
2007-03-12,16337.56
2007-03-13,15042.41
2007-03-14,13926.83
2007-03-15,8453.68
2007-03-16,16985.59
2007-03-17,17699.68
2007-03-18,11826.21
2007-03-19,18238.48
2007-03-20,16219.49
2007-03-21,14038.58
2007-03-22,15783.98
2007-03-23,17871.69
2007-03-24,17861.47
2007-03-25,16183.95
2007-03-26,17213.14
2007-03-27,19753.16
2007-03-28,7170.56
2007-03-29,11095.31
2007-03-30,9013.26
2007-03-31,8403.06
2007-04-01,7087.56
2007-04-02,15217.12
2007-04-03,6792.47
2007-04-04,15973.39
2007-04-05,21480.38
2007-04-06,19426.15
2007-04-07,18050.76
2007-04-08,21645.02
2007-04-09,22504.04
2007-04-10,12735.98
2007-04-11,14376.87
2007-04-12,17785.28
2007-04-13,21468.02
2007-04-14,21832.3
2007-04-15,23166.47
2007-04-16,20581.73
2007-04-17,23557.83
2007-04-18,23553.07
2007-04-19,22980.54
2007-04-20,22435.63
2007-04-21,19172.27
2007-04-22,16896.7
2007-04-23,23591.08
2007-04-24,20145.75
2007-04-25,23065.58
2007-04-26,21065.77
2007-04-27,23358.91
2007-04-28,24862.63
2007-04-29,23467.18
2007-04-30,18093.12
2007-05-01,24421.29
2007-05-02,24527.72
2007-05-03,23575
2007-05-04,10431.56
2007-05-05,16592.79
2007-05-06,17284.55
2007-05-07,18561.44
2007-05-08,24882.27
2007-05-09,25560.26
2007-05-10,25687.46
2007-05-11,19186.06
2007-05-12,23514.13
2007-05-13,24210.27
2007-05-14,22057.12
2007-05-15,20608.53
2007-05-16,20289.58
2007-05-17,27155.29
2007-05-18,25138.87
2007-05-19,22004.92
2007-05-20,24217.28
2007-05-21,22670.56
2007-05-22,22441.75
2007-05-23,20926.15
